id,componente,tarea,complejidad,horas_estimadas,dependencias,sprint
1,Configuración inicial,"Creación del repositorio y configuración de GitHub Actions",Media,8,"",1
2,Configuración inicial,"Instalación de dependencias",Baja,4,"1",1
3,Desarrollo frontend,"Creación de la interfaz de usuario",Alta,16,"",2
4,Desarrollo frontend,"Implementación de la lógica de negocio",Media,12,"3",2
5,Desarrollo backend,"Creación de la API",Media,8,"",3
6,Desarrollo backend,"Implementación de la lógica de negocio",Media,12,"5",3
7,Pruebas y depuración,"Pruebas unitarias",Media,8,"3,4,6",4
8,Pruebas y depuración,"Pruebas de integración",Media,8,"7",4
9,Pruebas y depuración,"Pruebas de sistema",Media,8,"8",4
10,Documentación y entrega,"Documentación de la aplicación",Baja,4,"9",5
11,Documentación y entrega,"Entrega final al cliente",Baja,4,"10",5
