id,tipo,titulo,descripcion,criterios_aceptacion,prioridad,estimacion_puntos,sprint,estado
1,epica,Desarrollo de la aplicación web,Desarrollar una aplicación web estática simple,"La aplicación debe ser accesible desde cualquier navegador, la aplicación debe ser compatible con dispositivos móviles, la aplicación debe tener una interfaz de usuario intuitiva",alta,20,1,no_iniciado
2,historia,Configuración inicial,Configurar el proyecto, incluyendo la creación del repositorio y la configuración de GitHub Actions,"El proyecto debe tener un repositorio en GitHub, el proyecto debe tener una configuración de GitHub Actions",media,5,1,no_iniciado
3,tarea,Crear repositorio en GitHub,Crear un repositorio en GitHub para el proyecto,"El repositorio debe ser público, el repositorio debe tener un nombre claro y conciso",baja,1,1,no_iniciado
4,tarea,Configurar GitHub Actions,Configurar GitHub Actions para el proyecto,"GitHub Actions debe estar configurado para compilar y probar el proyecto",baja,1,1,no_iniciado
5,historia,Desarrollo frontend,Desarrollar el frontend de la aplicación, incluyendo la creación de la interfaz de usuario y la implementación de la lógica de negocio,"La aplicación debe tener una interfaz de usuario intuitiva, la aplicación debe ser compatible con dispositivos móviles",alta,10,2,no_iniciado
6,tarea,Crear interfaz de usuario,Crear la interfaz de usuario de la aplicación,"La interfaz de usuario debe ser intuitiva, la interfaz de usuario debe ser compatible con dispositivos móviles",media,3,2,no_iniciado
7,tarea,Implementar lógica de negocio,Implementar la lógica de negocio de la aplicación,"La lógica de negocio debe ser correcta, la lógica de negocio debe ser eficiente",media,3,2,no_iniciado
8,historia,Desarrollo backend,Desarrollar el backend de la aplicación, incluyendo la creación de la API y la implementación de la lógica de negocio,"La aplicación debe tener una API RESTful, la aplicación debe tener una base de datos",alta,8,3,no_iniciado
9,tarea,Crear API RESTful,Crear la API RESTful de la aplicación,"La API debe ser compatible con HTTP, la API debe ser compatible con JSON",media,2,3,no_iniciado
10,tarea,Crear base de datos,Crear la base de datos de la aplicación,"La base de datos debe ser compatible con MySQL, la base de datos debe ser compatible con PostgreSQL",media,2,3,no_iniciado
11,historia,Pruebas y depuración,Realizar pruebas y depuración de la aplicación, incluyendo pruebas unitarias, pruebas de integración y pruebas de sistema,"La aplicación debe ser compatible con JUnit, la aplicación debe ser compatible con Selenium",alta,8,4,no_iniciado
12,tarea,Realizar pruebas unitarias,Realizar pruebas unitarias de la aplicación,"Las pruebas unitarias deben ser correctas, las pruebas unitarias deben ser eficientes",media,2,4,no_iniciado
13,tarea,Realizar pruebas de integración,Realizar pruebas de integración de la aplicación,"Las pruebas de integración deben ser correctas, las pruebas de integración deben ser eficientes",media,2,4,no_iniciado
14,tarea,Realizar pruebas de sistema,Realizar pruebas de sistema de la aplicación,"Las pruebas de sistema deben ser correctas, las pruebas de sistema deben ser eficientes",media,2,4,no_iniciado
15,historia,Documentación y entrega,Documentar y entregar la aplicación, incluyendo la creación de la documentación y la entrega final al cliente,"La documentación debe ser clara y concisa, la entrega final debe ser correcta",alta,5,5,no_iniciado
